H_COUNTRY,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,8.9,6.3,,,0.9,0.4,0.7,0.5,0.3,0.1,0.5,0.02,0.01,0.05,0.02,0.01,0.01
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,3.62,36.02,35,22.3,7.2,6.3,1.21,0.086,0.05,
Argentina,,,,,,,,,,,,,,,,,,,,,7.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.07,0.12,0.41,0.05,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,
Australia,,,,,,,,,,,,,,,,,,,,,,0.1,1.6,,,,0,0,0,0,0.01,0.01,0.09,0.57,0.01,0.02,0.07
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.08,0.09,0.26,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,
Belgium,,,,,,,,,,,,,,,,,,,,,,0.1,,,5.3,1.3,2.55,10.84,0.05,0.74,6.03,3.31,10.81,8.16,9.12,10.2,12.19
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,2.01,0.17,0.28,14.96,10.91,24.04,52.06,64.96,74.21,58.34
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.00
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.12,0.32,0.65,0.82,9.38,55.65,79.45
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.01,0.01
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.04,0.09,0.11,0.18,0.06,0.08,0.00
Brazil,,,,,,,,,,,,,,,,,,,,,,149.6,143.5,64.6,151.8,210.7,245.95,215.75,204.25,147.45,67.33,105.3,53.07,72.49,92.15,212.21,139.54
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.54,0.11,0.13,1.00
Burkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.12,0.15,0.25,0.43,0.05
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.025,0.04,0.032,0.025,0.06,0.06,0.01,0.02,0.05
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,39.1,76.3,,50,76.2,139.7,119.09,49.89,74.24,64.85,50.44,61.25,187.3,238.17,265.46,237.94
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07,0.01,0.01,0.08
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.04,0.057,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.04,0.16,0.05,0.06,0.04,0.08,1.09,0.73,0.69,0.71,0.02,0.22,0.03
China,,,,,,,,,,,,,,,,,,,,,99.9,139.7,,,11.6,36.9,87.98,358.19,238.29,123.36,100.63,136.12,52.27,50.5,54.82,53.74,36.87
Colombia,,,,,,,,,,,,,,,,,,,,,226.1,155.5,128.2,29.8,141.3,209.6,205.63,253.46,261.86,371.74,691.61,783.04,1151.91,1360.28,1710.95,1621.75,1691.79
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,0.02,0.03,0.02,0.02,
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,28.34,7.03,0.13,0.09,0.1,0.11,0.13,0.04,0.09,0.08,0.00
Costa Rica,,,,,,,,,,,,,,,,,,,,,5.8,59.9,71.5,56.2,370,329.5,230.13,316.04,855.97,1105.12,973.19,835.8,1323.44,2022.14,2096.47,1775.52,1836.21
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1.78,0.05,0.00
Cuba,,,,,,,,,,,,,,,,,,,,,7.6,125.4,,26.4,6,0.4,0.04,0.06,0.05,0.04,0.02,0.07,0.09,0.04,0.02,0.03,0.00
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,0.02,0.04,0.07,0.06,0.15,0.03,0.05,0.01,0.00
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,2.5,2.76,2.1,1.7,1,2.32,82.98,36.28
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.02,0.32,0.47,0.16,0.02,0.04,0.07,0.04,0.02,0.89
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.01,0.54,0.64,0.47,0.28,0.07,0.03,0.51,11.65,8.03
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,3.7,15.4,22.3,40.7,42.7,162.56,47.35,3.61,23.82,9.84,1.17,8.97,80.22,68.22,154.74,306.30
Ecuador,,,,,,,,,,,,,,,,,,,,,1.2,29.7,46.9,17,169.6,612.6,985.3,1200,1246.33,1384.49,1290.62,1075.03,2202.78,3732.01,3993.97,4764.19,5156.48
Egypt,,,,,,,,,,,,,,,,,,,,,0.3,0.9,0.4,0.1,0.1,0.8,1.06,0.7,0.3,0.27,0.03,0.01,0.48,0.01,0.1,2.98,3.71
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.04,0.01,0.02,0.03,0.5,0.00
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,3,3,1.8,1.2,2,4.02,3.1,0.01,0.02,0.06
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,0.30
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,12.65,10.1,10.72,0.12,0.15,0.02,0.065,0.5,0.01,3.64
Fiji,,,,,,,,,,,,,,,,,,,,,3.5,6.2,4.5,3.2,5.3,5.75,6.82,1.65,2.61,0.01,0.01,0.01,0.04,0.01,0.02,0.01,0.00
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.26,1.46,0.5,0.44
France,,,,,,,,,,,,,,,,,,,,,11.8,0.01,3.1,,4,0.8,4.23,5.23,0.2,0.25,2.61,3.55,26.06,10.5,24.1,19.3,32.25
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,0.03,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,0.92
Germany,,,,,,,,,,,,,,,,,,,,,0.9,0.03,,,,8.7,2.96,3.51,4.88,5.32,3.29,4.74,5.2,37.15,10.5,26.45,38.43
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.79,1.25,0.19,1.1,0.02,0.08,0.09,1.61,12.56,4.21,11.03
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,41.49,23.58,4.1,19.88
Guatemala,,,,,,,,,,,,,,,,,,,,,116.1,128.6,188.4,193.9,160.2,134.5,157.52,34.72,200.45,242.37,370.57,362.29,369.08,635.5,801.51,1129.48,1387.52
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,59.4,24.9,20,0.6,0.045,0.5,0.02,0.01,0.42,0.38,0.00
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.01,0.00
Guyana,,,,,,,,,,,,,,,,,,,,,6.5,0.09,0.8,1.2,0.7,0.05,0.04,0.05,0.035,0.03,0.01,0.025,0.02,0.01,0.01,0.01,0.00
Haiti,,,,,,,,,,,,,,,,,,,,,,10.4,45.4,80.3,25,0.02,0.15,0.4,0.4,0.06,0.06,0.01,0.02,0.01,0.02,0.02,0.00
Honduras,,,,,,,,,,,,,,,,,,,,,,,,334.4,393,296.8,425.74,561.43,799.23,363.12,972.94,844.4,688.1,521.64,52.12,516.36,488.73
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.43,0.31,0.42
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,11.51,8.13,7.09,0.93,0.04,0.12,0.29,1.74,8.63,14.41,60.81
Indonesia,,,,,,,,,,,,,,,,,,,,,4,2.5,3.6,4.7,5.8,6.9,8,9.1,10.2,11.3,12.4,13.5,7.2,12.1,2.11,3.67,0.14
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,2.96
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74,22.83,11.9,13.97,9.95,13.13,8.72,9.44
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,17.21,14.29,1.96,0.76,5.9,0.42,0.45,0.18,0.76,0.00
Italy,,,,,,,,,,,,,,,,,,,,,,0.01,0.07,0.06,0.05,0.04,0.03,0.02,0.03,0.01,0.04,0.03,0.28,5.09,17.9,10.73,69.82
Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,45.21,67.12,91.84,128.32,140.46,135.45,121.98,107.75,97.27,165.76,243.03,187.41,
Jamaica,,,,,,,,,,,,,,,,,,,,,24.6,344.8,115.9,30.4,97.7,156.8,124.8,182.9,136.41,68.1,33.12,12.49,63.19,83.77,40.94,11.65,0.00
Japan,,,,,,,,,,,,,,,,,,,,,,4.4,,,,5.8,3.1,2.1,0.01,0.62,0.01,0.02,2.67,0.16,0.23,0.03,0.00
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,4.72,4.09,2.37,0.05,0.01,0.51,0.32,1.2,4.99,1.30
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.01,0.02,0.03,0.12,0.22,0.24,0.22,0.02,0.001,0.10
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.77,1.66,1.19,0.45,0.1,0.04,0.25,0.03,0.00
