region,fips,state,name,ba,all.emp,pct.tech,est,pov,inc
South,01001,AL,Autauga County,24.593,10790,0.3985171455050973,0.23501762632197415,14.0,54487.0
South,01003,AL,Baldwin County,29.547,61341,0.38636474788477526,0.30563514804202485,12.0,56460.0
South,01005,AL,Barbour County,12.868,6857,0.0,0.0,30.0,32884.0
South,01007,AL,Bibb County,12.0,3387,0.0,0.0,20.0,43079.0
South,01009,AL,Blount County,13.05,6286,0.30225898822780783,0.2962962962962963,14.0,47213.0
South,01011,AL,Bullock County,10.255,2097,0.0,0.0,33.0,34278.0
South,01013,AL,Butler County,16.08,6157,0.0,0.24449877750611246,25.0,35409.0
South,01015,AL,Calhoun County,17.653,35843,0.3068939541891025,0.17196904557179707,17.0,41778.0
South,01017,AL,Chambers County,12.484,6276,0.7966857871255577,0.0,20.0,39530.0
South,01019,AL,Cherokee County,13.962,3905,0.0,0.0,17.0,41456.0
South,01021,AL,Chilton County,14.855,7609,0.0,0.13550135501355012,18.0,44188.0
South,01023,AL,Choctaw County,11.96,2835,0.0,0.0,23.0,32691.0
South,01025,AL,Clarke County,12.137,6821,0.0,0.0,29.0,34061.0
South,01027,AL,Clay County,11.063,3277,0.0,0.0,19.0,38512.0
South,01029,AL,Cleburne County,11.528,1703,0.0,0.0,17.0,43483.0
South,01031,AL,Coffee County,23.667,13388,0.09710188228264117,0.5070993914807302,14.0,48632.0
South,01033,AL,Colbert County,18.471,22474,0.3826644122096645,0.4882017900732303,17.0,46572.0
South,01035,AL,Conecuh County,8.663,2441,0.0,0.0,28.0,29758.0
South,01037,AL,Coosa County,9.941,944,0.0,0.0,18.0,36441.0
South,01039,AL,Covington County,14.921,10187,0.17669578875036812,0.3712871287128713,20.0,35010.0
South,01041,AL,Crenshaw County,14.648,3355,0.0,0.0,21.0,37374.0
South,01043,AL,Cullman County,14.969,25274,0.16222204637176546,0.1156737998843262,15.0,41543.0
South,01045,AL,Dale County,16.069,11146,4.566660685447694,0.13531799729364005,21.0,40523.0
South,01047,AL,Dallas County,13.784,10487,0.0,0.13550135501355012,35.0,30488.0
South,01049,AL,DeKalb County,11.366,17745,0.05635390250774866,0.27497708524289644,21.0,37128.0
South,01051,AL,Elmore County,22.238,14359,0.6894630545302598,0.0856898029134533,14.0,54553.0
South,01053,AL,Escambia County,11.626,10055,0.0,0.1366120218579235,23.0,35096.0
South,01055,AL,Etowah County,16.492,30834,0.06810663553220471,0.20263424518743667,18.0,40972.0
South,01057,AL,Fayette County,14.145,3175,0.0,0.3184713375796178,20.0,38403.0
South,01059,AL,Franklin County,12.39,9646,0.0,0.0,20.0,37049.0
South,01061,AL,Geneva County,11.662,3934,0.0,0.2457002457002457,21.0,36976.0
South,01063,AL,Greene County,9.975,1379,0.0,0.0,34.0,26559.0
South,01065,AL,Hale County,14.029,1854,0.0,0.0,24.0,35381.0
South,01067,AL,Henry County,16.144,2513,0.0,0.0,19.0,41426.0
South,01069,AL,Houston County,21.018,43799,0.2739788579647937,0.3328402366863905,19.0,42910.0
South,01071,AL,Jackson County,12.578,13259,0.030168187646127158,0.3546099290780142,18.0,41407.0
South,01073,AL,Jefferson County,31.44,314992,1.3397165642302027,0.479252608590148,15.0,50109.0
South,01075,AL,Lamar County,13.063,3141,0.0,0.0,19.0,38358.0
South,01077,AL,Lauderdale County,21.679,25563,0.2503618511129367,0.29542097488921715,15.0,44124.0
South,01079,AL,Lawrence County,10.309,3138,0.0,0.25839793281653745,17.0,43107.0
South,01081,AL,Lee County,34.412,43945,0.4323586301058141,0.36683785766691124,18.0,47749.0
South,01083,AL,Limestone County,23.261,16958,1.3386012501474231,0.36443148688046645,13.0,52181.0
South,01085,AL,Lowndes County,12.282,1969,0.0,0.0,32.0,32011.0
South,01087,AL,Macon County,20.042,5244,0.0,0.0,30.0,30681.0
South,01089,AL,Madison County,40.672,158629,10.953230493793695,0.5765765765765766,14.0,61193.0
South,01091,AL,Marengo County,14.789,6045,0.0,0.0,26.0,34794.0
South,01093,AL,Marion County,12.466,7656,0.0,0.3766478342749529,19.0,36386.0
South,01095,AL,Marshall County,16.567,30833,0.0745954010313625,0.2770083102493075,21.0,42117.0
South,01097,AL,Mobile County,22.512,151652,1.9346925856566348,0.28617216117216115,20.0,45233.0
South,01099,AL,Monroe County,12.395,5400,0.0,0.0,26.0,36639.0
South,01101,AL,Montgomery County,31.46,103893,1.1887230131000164,0.4291845493562232,19.0,45111.0
South,01103,AL,Morgan County,21.429,42737,0.435220066920935,0.3497862417411582,16.0,46843.0
