date,routput,rcon,rcong,rconnd,rcond,rcons,rconshh,rconsnp,rinvbf,rinvresid,rex,rimp,rg,rgf,rgsl,rconhh,noutput,ncong,nconshh,nconsnp,nconhh,p,pcong,pconshh,pconsnp,pconhh,pconx,oph,ulc,rconm,rcongm,rcondm,rconndm,rconsm,rconshhm,rconsnpm,rconhhm,ncongm,nconshhm,nconsnpm,nconhhm,pcongm,pconshhm,pconsnpm,pconhhm,pcpi,pcpix,pppi,pppix,employ_level,employ_pct_chg,h,hg,hs,ipt,ipm,cut,cum,hstarts
1962:Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.651733333333333,0.374466666666667,,,
1963:Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52293333333333,3.18146666666667,,,
1963:Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3570666666667,15.3449,,,
1963:Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5647,0.201933333333334,,,
1963:Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86683333333333,5.18576666666667,,,
1964:Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1965,2.8629,,,
1964:Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35936666666667,6.6584,,,
1964:Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26363333333333,6.5516,,,
1964:Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,6.8225,,,,12.0231,14.3133,,,
1965:Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.333333333333,3.77203333333333,,,,7.81196666666667,8.34626666666667,,,
1965:Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.666666666667,2.07406666666667,,,,3.755,3.7196,,,
1965:Q3,5.2206,,,,,,,,,,,,,,,,6.7731,,,,,1.4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,2.77136666666667,,,,0.1622,0.464533333333333,,,
1965:Q4,5.799,6.08,,6.9219,6.1616,5.3429,,,12.022,-9.7485,13.134,17.2103,6.8972,11.7097,2.1601,,7.9135,,,,,1.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.333333333333,5.94073333333333,,,,10.7943666666667,11.0256333333333,,,
1966:Q1,6.1591,,,,,,,,,,,,,,,,10.0542,,,,,3.6691,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,5.43873333333333,,,,11.5014333333333,11.3428666666667,,,
1966:Q2,2.3308,,,,,,,,,,,,,,,,6.1259,,,,,3.7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.333333333333,3.223,,,,6.4479,6.86516666666667,,,
1966:Q3,4.5512,,,,,,,,,,,,,,,,7.6959,,,,,3.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,2.19853333333333,,,,5.59443333333333,6.02563333333333,,,
