time.index,time,alameda,alpine,amador,butte,calaveras,colusa,contra.costa,del.norte,el.dorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,lake,lassen,los.angeles,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nevada,orange,placer,plumas,riverside,sacramento,san.benito,san.bernardi,san.diego,san.francisc,san.joaquin,san.luis.obi,san.mateo,santa.barbar,santa.clara,santa.cruz,shasta,sierra,siskiyou,solano,sonoma,stanislaus,sutter,tehama,trinity,tulare,tuolumne,ventura,yolo,yuba
1,1992Q1,461293.9436473119,168.2546089449292,6219.453004850241,48788.584809461994,5162.1165261079095,5338.644666014253,245419.11707597272,4359.796643503376,23897.32063537358,224679.52809411607,5254.025278913914,33770.88832224263,33146.163574954975,4630.405105711628,160919.43857122993,22211.23138847575,8912.836153084096,4169.759965178876,3333020.180016294,22858.367364736936,82668.42519847817,3437.349844806171,22115.71141781603,44404.30960882899,1412.889534009023,4177.88658521449,118124.27060019567,38828.08420742538,17420.155106135357,1014332.6871600911,53267.25722476236,4414.8433832934425,262850.6781590079,324291.6752627797,8842.88345039103,329284.6620356059,782688.4136920999,448503.7110707538,131201.14189076563,61187.18982977112,266744.99131538824,131562.19010204746,712553.618479519,77348.65435029694,42797.189858559555,489.5683660888026,9943.634646593991,69654.55591348403,123054.66691404677,111756.97231117533,16702.121051042912,10824.986432259711,1601.9772394333168,89168.76766613814,11291.274015615169,199028.61965675154,49393.79105985758,10584.197343004475
2,1992Q2,460709.58475458104,430.81322606970275,6224.236667693475,49109.27837110432,5066.34921515337,5505.217424970531,247592.35278471198,4338.059056871521,24058.863985475316,230056.92757069957,5419.885389141407,34468.369878293386,34632.82121472376,4734.241017940776,164357.69649809474,22905.152963642155,8759.827763993022,4571.591530833927,3313140.588259807,22917.664595283495,82812.85559497011,3504.7472485093867,22185.702230850442,44554.701370356124,1384.4840091520366,4303.9165029497135,115476.89639732872,37425.801684488906,17710.257356426297,1020611.9278504716,53750.6235134085,4538.478938451078,264343.3803588002,321121.14998262684,8890.90428325842,330772.6544895998,787518.7846580292,445931.30068289663,135363.508062796,61381.046632281126,264005.24733866885,129202.11964153004,714121.8008120753,79242.73646971921,42884.315892754435,516.0698966902886,10282.52956603603,70998.58661757056,122725.13679239275,113103.83976641811,16864.258430190366,10825.819007121792,1688.6470886249124,90316.91718160098,11264.717665445107,202977.52247111622,50484.268366972115,10796.396043032046
3,1992Q3,461829.5381349079,466.0643070381417,6397.747583365775,50544.9081181672,4867.216486022983,5860.256171049385,248049.3827758273,4424.485408070567,24181.18899544611,230237.99911998003,5351.167589487515,34626.27329430167,31146.162112608403,4620.826805913923,157454.46133665057,23666.646146236013,9339.560170041897,4706.931043385427,3300253.469922472,22763.1119055063,82907.03629993068,3537.134558300812,22914.9349663633,46059.75543319751,1354.3019068602887,4120.410631052643,109717.7806306372,36304.76400282745,17723.877228838366,1014845.1811796535,53731.11790658928,4413.063114403219,265185.2407849148,321987.3995877097,9970.045308591583,329652.46532793477,782559.1545768764,448521.7033463984,138353.86936388435,59841.65382652705,260432.0136370934,127594.04906944722,710809.3298222112,78489.45784502922,43957.27227287397,479.0255514125616,9984.564222482819,71938.15685177989,124001.37874302773,116642.48721463645,17645.980877329515,11242.298431430767,1734.2452885891223,93993.76494818319,11379.187440051857,199090.0441904656,52167.27717403682,11000.006604848193
4,1992Q4,461209.9351793433,380.86757572544667,6112.562693737424,48849.23032611671,5077.317988799294,5079.881468634905,245162.14758090125,4282.659067322043,23727.62687359912,218695.55323677984,5547.92212766595,34318.46951081991,33656.85309385037,4607.527252513616,148425.39588248907,23126.97147558821,8853.776253186486,4582.7175034180245,3251265.7774934517,22056.85903937453,82593.68320389032,3474.768537146228,21579.653747980527,43478.23398526622,1274.5873690905914,4262.785952342025,112433.04080283854,34801.34791294574,17707.710656710977,1012616.2070115848,55123.001102854905,4462.614779010592,262597.69818924274,319314.7779719154,8042.167501205009,327253.2144887013,779666.644633272,443466.28615527,130871.48531356195,60154.11018362143,261609.74693118525,127184.63842047007,705505.2529913522,78120.15307889272,43076.22417199494,479.3362472554436,9925.271921083013,70271.70211361254,122484.81915569148,111033.70710577915,16601.640158430357,10998.896334533662,1706.1305731420941,94388.55544377524,11282.821081212158,201244.81273372986,49271.66499043958,11097.907377914762
5,1993Q1,456844.9436473119,562.2546089449293,6444.453004850241,47151.584809461994,4914.1165261079095,5132.644666014253,243956.11707597272,4160.796643503376,22734.32063537358,226267.52809411607,5484.025278913914,34256.88832224263,32534.163574954975,4473.405105711628,156827.43857122993,21581.23138847575,9085.836153084096,4422.759965178876,3213857.180016294,22175.367364736936,82386.42519847817,3311.349844806171,21931.71141781603,43239.30960882899,1354.889534009023,4754.88658521449,116770.27060019567,38647.08420742538,18279.155106135357,996029.6871600911,54244.25722476236,4153.8433832934425,265900.6781590079,316544.6752627797,8909.88345039103,327511.6620356059,779523.4136920999,444164.7110707538,130741.14189076563,58235.18982977112,259977.99131538827,127720.19010204746,707151.618479519,76330.65435029694,41487.189858559555,502.5683660888026,9575.634646593991,71053.55591348403,124796.66691404677,109976.97231117533,16569.121051042912,10322.986432259711,1571.9772394333168,92052.76766613814,10861.274015615169,199684.61965675154,49303.79105985758,10854.197343004475
6,1993Q2,458717.58475458104,714.8132260697028,6548.236667693475,47658.27837110432,5069.34921515337,5432.217424970531,245782.35278471198,4485.059056871521,23930.863985475316,232063.92757069957,5599.885389141407,34319.369878293386,36016.82121472376,4575.241017940776,160363.69649809474,23289.152963642155,8684.827763993022,4673.591530833927,3178699.588259807,23352.664595283495,83352.85559497011,3541.7472485093867,21947.702230850442,43613.701370356124,1314.4840091520366,4663.9165029497135,114088.89639732872,37408.801684488906,18548.257356426297,996467.9278504716,55975.6235134085,4235.478938451078,270165.3803588002,317193.14998262684,9384.90428325842,329779.6544895998,774067.7846580292,440398.30068289663,133047.508062796,58255.046632281126,258417.24733866885,128942.11964153004,704194.8008120753,78456.73646971921,42954.315892754435,535.0698966902886,9716.52956603603,71423.58661757056,124989.13679239275,110083.83976641811,16930.258430190366,10313.819007121792,1570.6470886249124,94355.91718160098,11159.717665445107,204308.52247111622,50250.268366972115,10849.396043032046
7,1993Q3,461255.5381349079,566.0643070381417,6555.747583365775,48988.9081181672,5120.216486022983,5429.256171049385,246265.3827758273,4555.485408070567,23844.18899544611,231480.99911998003,5448.167589487515,34808.27329430167,32980.1621126084,4508.826805913923,158966.46133665057,24110.646146236013,8682.560170041897,4679.931043385427,3208428.469922472,21471.1119055063,83933.03629993068,3547.134558300812,22087.9349663633,46450.75543319751,1355.039065327597,4387.410631052643,109388.7806306372,35973.76400282745,18272.877228838366,997561.1811796535,55881.11790658928,4415.063114403219,265737.2407849148,318994.3995877097,10885.045308591583,330865.46532793477,775698.1545768764,439418.7033463984,136992.86936388435,58345.65382652705,259521.0136370934,127948.04906944722,711887.3298222112,79696.45784502922,43435.27227287397,471.0255514125616,10007.564222482819,73362.15685177989,125977.37874302773,115054.48721463645,16952.980877329515,10819.298431430767,1628.2452885891223,91946.76494818319,11125.187440051857,202003.0441904656,52070.27717403682,11075.500187001997
8,1993Q4,461501.9351793433,505.86757572544667,6576.562693737424,48324.23032611671,5025.317988799294,5091.881468634905,246394.14758090125,4646.659067322043,23904.62687359912,234657.55323677984,5693.92212766595,34767.46951081991,35202.85309385037,4587.527252513616,149374.39588248907,24165.97147558821,8997.776253186486,4341.7175034180245,3167845.7774934517,26797.85903937453,85520.68320389032,3466.768537146228,23529.653747980527,44502.23398526622,1433.5873690905914,4677.785952342025,115188.04080283854,36155.34791294574,18739.710656710977,995975.2070115848,57105.001102854905,4461.614779010592,265367.69818924274,319336.7779719154,9411.16750120501,328504.2144887013,781243.644633272,441511.28615527,132626.48531356195,58965.11018362143,261930.74693118525,128763.63842047007,711295.2529913522,78956.15307889272,43687.22417199494,521.3362472554436,10270.271921083013,72868.70211361254,126918.81915569148,112789.70710577915,16822.640158430357,10674.896334533662,1747.1305731420941,94940.55544377524,10834.00400864262,201503.81273372986,51205.66499043958,10616.907377914762
9,1994Q1,465408.9436473119,717.2546089449293,6394.453004850241,48617.584809461994,4906.1165261079095,5400.644666014253,245136.11707597272,4685.796643503376,23992.32063537358,235245.52809411607,5666.025278913914,35046.88832224263,35100.163574954975,4512.405105711628,159001.43857122993,22917.23138847575,9376.836153084096,4611.759965178876,3168788.180016294,23917.367364736936,86086.42519847817,3347.349844806171,23255.71141781603,44848.30960882899,1500.889534009023,4331.88658521449,118077.27060019567,37966.08420742538,18157.155106135357,1001612.6871600911,57675.25722476236,4260.8433832934425,271468.6781590079,323114.6752627797,9250.88345039103,332701.6620356059,786418.4136920999,436760.7110707538,133279.14189076563,59453.18982977112,263279.99131538824,130226.19010204746,712478.618479519,77279.65435029694,43055.189858559555,480.5683660888026,10042.634646593991,73388.55591348403,125291.66691404677,111216.97231117533,17307.121051042912,10811.986432259711,1796.9772394333168,94794.76766613814,10548.274015615169,204428.61965675154,51576.79105985758,10182.197343004475
10,1994Q2,466096.58475458104,394.81322606970275,6339.236667693475,49522.27837110432,4877.34921515337,6084.217424970531,245873.35278471198,4643.059056871521,24237.863985475316,238899.92757069957,5748.885389141407,35294.369878293386,36907.82121472376,4417.241017940776,161872.69649809474,24803.152963642155,9084.827763993022,4892.591530833927,3180848.588259807,24294.664595283495,85875.85559497011,3406.7472485093867,23507.702230850442,45478.701370356124,1454.4840091520366,4198.9165029497135,115600.89639732872,37057.801684488906,17891.257356426297,1005948.9278504716,58386.6235134085,4394.478938451078,273950.3803588002,326131.14998262684,9463.90428325842,333350.6544895998,782456.7846580292,436814.30068289663,136689.508062796,59758.046632281126,261472.24733866885,129068.11964153004,714980.8008120753,80369.73646971921,42930.315892754435,520.0698966902886,10430.52956603603,73554.58661757056,126329.13679239275,110469.83976641811,17539.258430190366,10702.819007121792,1906.6470886249124,96091.91718160098,10425.717665445107,206658.52247111622,52077.268366972115,10050.396043032046
